,input,output
10080,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> key- city landscape <extra_id_2>
10081,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> car key <extra_id_2> bent and shaped <extra_id_3>
10094,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> asteroid <extra_id_2> chocolate chunks <extra_id_3>
10095,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> candy <extra_id_2> asteroids <extra_id_3>
10104,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> running shoes- gopher <extra_id_2>
10105,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> groundhog <extra_id_2> human <extra_id_3>
10110,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> tree <extra_id_2> person <extra_id_3>
10113,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> ocean <extra_id_2> diffuser <extra_id_3>
10114,<extra_id_0>: The objects that have created new object are scent sticks- combined with ocean in a bottle,<extra_id_0> Combination of Parts <extra_id_1>
10123,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> letters <extra_id_2> chocolate <extra_id_3>
10126,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> chicken fries- fries box <extra_id_2>
10129,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> factory <extra_id_2> bent <extra_id_3>
10143,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> human body cut in half <extra_id_2>
10146,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> upper lip <extra_id_2> ink <extra_id_3>
10149,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> racket missing pieces <extra_id_2>
10150,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> feathers <extra_id_2> tennis racket <extra_id_3>
10159,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> woman <extra_id_2> animal <extra_id_3>
10164,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> man <extra_id_2> kit kat bar <extra_id_3>
10177,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> basketball <extra_id_2> pistachio <extra_id_3>
10180,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> picture <extra_id_2> side of mouth/teeth <extra_id_3>
10183,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> helicopter <extra_id_2> skier <extra_id_3>
10184,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> helicopter- man <extra_id_2>
10196,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> dress <extra_id_2> flower petals <extra_id_3>
10201,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> paint- raisin boxes <extra_id_2>
10202,<extra_id_0>: The objects that have created new object are raisin packages- paintbrush- paint,<extra_id_0> Combination of Parts <extra_id_1>
10203,<extra_id_0>: The liquid which has been deformed is <extra_id_1>,<extra_id_0> Liquid Deformed Object <extra_id_1> red paint <extra_id_2>
10216,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> ice block <extra_id_2> briefcase <extra_id_3>
10217,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> icicles <extra_id_2> chart <extra_id_3>
10226,<extra_id_0>: The objects that have created new object are Heart- cartoon,<extra_id_0> Combination of Parts <extra_id_1> heart- cartoon <extra_id_2>
10231,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> banana <extra_id_2> sneaker <extra_id_3>
10234,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> tongue <extra_id_2> sock <extra_id_3>
10236,<extra_id_0>: The object which has a new texture is Tongue and the objects that have created the texture are Sock,<extra_id_0> Texture Replacement 2 <extra_id_1> tongue <extra_id_2> sock <extra_id_3>
10243,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> mouth skin <extra_id_2> cheese <extra_id_3>
10244,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> open mouth <extra_id_2> melted cheese <extra_id_3>
10245,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> mouth <extra_id_2> melted <extra_id_3>
10252,<extra_id_0>: The object which has a new texture is Background and the objects that have created the texture are Housing- tires- metal,<extra_id_0> Texture Replacement 2 <extra_id_1> background <extra_id_2> housing- tires- metal <extra_id_3>
10255,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> oreo cookies <extra_id_2> snowman <extra_id_3>
10256,<extra_id_0>: The objects that have created new object are snowman face cookie- void in flour,<extra_id_0> Combination of Parts <extra_id_1>
10265,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> shirt <extra_id_2> pantyhose <extra_id_3>
10268,<extra_id_0>: The objects which have missing parts are <extra_id_1>,<extra_id_0> Object with Missing Part <extra_id_1> lemons <extra_id_2>
10269,<extra_id_0>: The objects that have been transformed are <extra_id_1> and the transformations are <extra_id_2>,<extra_id_0> Solid Deformed Object <extra_id_1> lemons <extra_id_2> bent to look like a person <extra_id_3>
10274,<extra_id_0>: The object which has a new texture is Apple logo and the new texture is Big Mac,<extra_id_0> Texture Replacement 1 <extra_id_1> apple logo <extra_id_2> big mac <extra_id_3>
10275,<extra_id_0>: The object which has a new texture is Apple logo and the new texture is Hamburger,<extra_id_0> Texture Replacement 1 <extra_id_1> apple logo <extra_id_2> hamburger <extra_id_3>
10276,<extra_id_0>: The objects that have created new object are <extra_id_1>,<extra_id_0> Combination of Parts <extra_id_1> piece of hamburger bun. <extra_id_2>
10289,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> shoes <extra_id_2> aluminum can <extra_id_3>
10292,<extra_id_0>: Objects which are inside are coffee taster lady- coffee cups- tables and the objects that are outside are <extra_id_1>,<extra_id_0> Object Inside Object <extra_id_1> coffee mug <extra_id_2>
10293,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> kitchen <extra_id_2> cup <extra_id_3>
10298,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> key <extra_id_2> city skyline <extra_id_3>
10304,<extra_id_0>: The object which is placed in the context of another object is Pasta and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> pasta <extra_id_2> cityscape <extra_id_3>
10307,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> clothes iron <extra_id_2> leaf <extra_id_3>
10308,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> iron <extra_id_2> leaf <extra_id_3>
10309,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> leaf <extra_id_2> iron plate base <extra_id_3>
10316,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> floral arch <extra_id_2> white and green paint <extra_id_3>
10319,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> mustard container <extra_id_2> wine glass <extra_id_3>
10320,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> mustard <extra_id_2> glass <extra_id_3>
10321,<extra_id_0>: Objects which are inside are <extra_id_1> and the objects that are outside are <extra_id_2>,<extra_id_0> Object Inside Object <extra_id_1> mustard <extra_id_2> wine glass <extra_id_3>
10328,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> arms- hands <extra_id_2> scaly- wood <extra_id_3>
10329,<extra_id_0>: The object which has a new texture is <extra_id_1> and the new texture is <extra_id_2>,<extra_id_0> Texture Replacement 1 <extra_id_1> arms <extra_id_2> ship <extra_id_3>
10330,<extra_id_0>: The object which has a new texture is <extra_id_1> and the objects that have created the texture are <extra_id_2>,<extra_id_0> Texture Replacement 2 <extra_id_1> boat <extra_id_2> arms- hands <extra_id_3>
10331,<extra_id_0>: The object which is placed in the context of another object is <extra_id_1> and the object which is replaced by another object (expected object) <extra_id_2>,<extra_id_0> Object Replacement <extra_id_1> wooden hands <extra_id_2> boat traveling <extra_id_3>
